energy mass_att_coef
1.000E-03 1.183E+03
1.500E-03 4.002E+02
1.560E-03 3.600E+02
1.560E-03 3.955E+03
2.000E-03 2.261E+03
3.000E-03 7.866E+02
4.000E-03 3.592E+02
5.000E-03 1.923E+02
6.000E-03 1.143E+02
8.000E-03 4.960E+01
1.000E-02 2.566E+01
1.500E-02 7.641E+00
2.000E-02 3.237E+00
3.000E-02 1.019E+00
4.000E-02 4.998E-01
5.000E-02 3.214E-01
6.000E-02 2.440E-01
8.000E-02 1.817E-01
1.000E-01 1.572E-01
1.500E-01 1.317E-01
2.000E-01 1.188E-01
3.000E-01 1.026E-01
4.000E-01 9.187E-02
5.000E-01 8.388E-02
6.000E-01 7.762E-02
8.000E-01 6.818E-02
1.000E+00 6.132E-02
1.022E+00 6.067E-02
1.250E+00 5.486E-02
1.500E+00 5.000E-02
2.000E+00 4.320E-02
2.044E+00 4.274E-02
3.000E+00 3.539E-02
4.000E+00 3.105E-02
5.000E+00 2.836E-02
6.000E+00 2.655E-02
7.000E+00 2.528E-02
8.000E+00 2.437E-02
9.000E+00 2.369E-02
1.000E+01 2.318E-02
1.100E+01 2.279E-02
1.200E+01 2.249E-02
1.300E+01 2.225E-02
1.400E+01 2.208E-02
1.500E+01 2.195E-02
