energy mass_att_coef
1.000E-03 9.081E+03 
1.500E-03 3.396E+03 
2.000E-03 1.623E+03 
3.000E-03 5.543E+02 
4.000E-03 2.539E+02 
5.000E-03 1.374E+02 
6.000E-03 8.278E+01 
7.112E-03 5.145E+01 
7.112E-03 4.060E+02 
8.000E-03 3.041E+02 
1.000E-02 1.695E+02 
1.500E-02 5.634E+01 
2.000E-02 2.517E+01 
3.000E-02 7.892E+00 
4.000E-02 3.450E+00 
5.000E-02 1.833E+00 
6.000E-02 1.113E+00 
8.000E-02 5.392E-01 
1.000E-01 3.341E-01 
1.500E-01 1.786E-01 
2.000E-01 1.357E-01 
3.000E-01 1.051E-01 
4.000E-01 9.131E-02 
5.000E-01 8.241E-02 
6.000E-01 7.583E-02 
